#{"t_start": 1592565377.805582, "env_id": "BoxRandWorldNoFrameskip-v4"}
r,l,t
1,1117,34.071619
1,750,56.151839
1,1575,102.554562
14,511,117.422142
3,2948,204.215432
14,961,232.427006
3,1680,281.700523
3,1832,335.361545
1,1423,377.30108
1,1818,430.924069
1,435,443.71906
1,1719,494.251118
1,293,502.687224
3,2660,580.877758
1,2228,646.466235
1,1064,677.928688
3,3024,766.417696
3,2073,827.776751
14,1660,877.021864
3,1416,918.496206
1,279,926.761865
3,2871,1011.037717
1,1329,1050.023909
14,1053,1080.640622
1,502,1095.399933
3,4253,1222.397734
1,704,1243.141563
3,1578,1294.679975
1,1521,1342.140963
1,2643,1430.876035
3,1979,1500.713567
3,2915,1664.277597
1,1078,1698.098089
1,2355,1771.348275
1,1574,1820.573947
1,899,1849.176712
1,2646,1932.800938
14,1359,1977.315731
1,732,2001.443852
1,1021,2057.247695
14,1537,2146.878443
3,2348,2248.477187
